				In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone
Low	Trial     6	A1	0:26:00-0:27:00	60	1	60	100	1.52933	30	45.88	76.4667	0.527692	26	13.72	22.8667
Low	Trial     6	A1	0:27:00-0:28:00	59.96	1	59.96	99.9333	17.4267	3	52.28	87.1333	3.84	2	7.68	12.8
Low	Trial     6	A1	0:28:00-0:29:00	4.93714	7	34.56	57.6	2.352	10	23.52	39.2	3.68	3	11.04	18.4
Low	Trial     6	A1	0:29:00-0:30:00	26.74	2	53.48	89.1333	3.90154	13	50.72	84.5333	0.250909	11	2.76	4.6
Low	Trial     6	A1	0:30:00-0:31:00	60	1	60	100	4.87636	11	53.64	89.4	0.526667	12	6.32	10.5333
Low	Trial     6	A1	0:31:00-0:32:00	60	1	60	100	4.996	10	49.96	83.2667	1.004	10	10.04	16.7333
Low	Trial     6	A1	0:32:00-0:33:00	60	1	60	100	13.8	4	55.2	92	1.6	3	4.8	8
Low	Trial     6	A1	0:33:00-0:34:00	60	1	60	100	7.13714	7	49.96	83.2667	1.67333	6	10.04	16.7333
Low	Trial     6	A1	0:34:00-0:35:00	60	1	60	100	13.13	4	52.52	87.5333	1.86	4	7.44	12.4
Low	Trial     6	A1	0:35:00-0:36:00	60	1	60	100	4.49091	11	49.4	82.3333	1.06	10	10.6	17.6667
Low	Trial     6	A1	0:36:00-0:37:00	60	1	60	100	18.98	2	37.96	63.2667	11.02	2	22.04	36.7333
Low	Trial     6	A1	0:37:00-0:38:00	10.976	5	54.88	91.4667	5.45143	7	38.16	63.6	5.57333	3	16.72	27.8667
Low	Trial     6	A1	0:38:00-0:39:00	19.9467	3	59.84	99.7333	12.11	4	48.44	80.7333	11.4	1	11.4	19
Low	Trial     6	A1	0:39:00-0:40:00	60	1	60	100	4.72	8	37.76	62.9333	3.17143	7	22.2	37
Low	Trial     6	A1	0:40:00-0:41:00	14.87	4	59.48	99.1333	4.42909	11	48.72	81.2	1.53714	7	10.76	17.9333
Low	Trial     6	A1	0:41:00-0:42:00	5.45333	6	32.72	54.5333	2.59429	7	18.16	30.2667	14.56	1	14.56	24.2667
Low	Trial     6	A1	0:42:00-0:43:00	21.94	2	43.88	73.1333	7.672	5	38.36	63.9333	1.84	3	5.52	9.2
Low	Trial     6	A1	0:43:00-0:44:00	60	1	60	100	17.1333	3	51.4	85.6667	4.3	2	8.6	14.3333
Low	Trial     6	A1	0:44:00-0:45:00	60	1	60	100	11.7467	3	35.24	58.7333	8.25333	3	24.76	41.2667
Low	Trial     6	B1	Start-0:01:00	28.96	2	57.92	96.5333	12.99	4	51.96	86.6	2.98	2	5.96	9.93333
Low	Trial     6	B1	0:01:00-0:02:00	60	1	60	100	16.64	3	49.92	83.2	5.04	2	10.08	16.8
Low	Trial     6	B1	0:02:00-0:03:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:03:00-0:04:00	60	1	60	100	18.44	2	36.88	61.4667	23.12	1	23.12	38.5333
Low	Trial     6	B1	0:04:00-0:05:00	60	1	60	100	26.66	2	53.32	88.8667	6.68	1	6.68	11.1333
Low	Trial     6	B1	0:05:00-0:06:00	60	1	60	100	19.9733	3	59.92	99.8667	0.04	2	0.08	0.133333
Low	Trial     6	B1	0:06:00-0:07:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:07:00-0:08:00	60	1	60	100	50.36	1	50.36	83.9333	9.64	1	9.64	16.0667
Low	Trial     6	B1	0:08:00-0:09:00	58.76	1	58.76	97.9333	37.28	1	37.28	62.1333	21.48	1	21.48	35.8
Low	Trial     6	B1	0:09:00-0:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Low	Trial     6	B1	0:10:00-0:11:00	57.4	1	57.4	95.6667	23.6	2	47.2	78.6667	5.1	2	10.2	17
Low	Trial     6	B1	0:11:00-0:12:00	60	1	60	100	NA	0	0	0	60	1	60	100
Low	Trial     6	B1	0:12:00-0:13:00	29.18	2	58.36	97.2667	26.62	2	53.24	88.7333	5.12	1	5.12	8.53333
Low	Trial     6	B1	0:13:00-0:14:00	60	1	60	100	57.12	1	57.12	95.2	2.88	1	2.88	4.8
Low	Trial     6	B1	0:14:00-0:15:00	19.9333	3	59.8	99.6667	10.62	4	42.48	70.8	5.77333	3	17.32	28.8667
Low	Trial     6	B1	0:15:00-0:16:00	60	1	60	100	5.69778	9	51.28	85.4667	0.968889	9	8.72	14.5333
Low	Trial     6	B1	0:16:00-0:17:00	60	1	60	100	6.33	8	50.64	84.4	1.33714	7	9.36	15.6
Low	Trial     6	B1	0:17:00-0:18:00	60	1	60	100	5.692	10	56.92	94.8667	0.308	10	3.08	5.13333
Low	Trial     6	B1	0:18:00-0:19:00	60	1	60	100	14.07	4	56.28	93.8	0.93	4	3.72	6.2
Low	Trial     6	B1	0:19:00-0:20:00	60	1	60	100	7.01714	7	49.12	81.8667	1.55429	7	10.88	18.1333
Low	Trial     6	B1	0:20:00-0:21:00	60	1	60	100	3.27111	9	29.44	49.0667	3.39556	9	30.56	50.9333
Low	Trial     6	B1	0:21:00-0:22:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:22:00-0:23:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:23:00-0:24:00	29.98	2	59.96	99.9333	19.9467	3	59.84	99.7333	0.12	1	0.12	0.2
Low	Trial     6	B1	0:24:00-0:25:00	60	1	60	100	29.92	2	59.84	99.7333	0.16	1	0.16	0.266667
Low	Trial     6	B1	0:25:00-0:26:00	60	1	60	100	12.44	1	12.44	20.7333	47.56	1	47.56	79.2667
Low	Trial     6	B1	0:26:00-0:27:00	60	1	60	100	NA	0	0	0	60	1	60	100
Low	Trial     6	B1	0:27:00-0:28:00	60	1	60	100	4.42	2	8.84	14.7333	17.0533	3	51.16	85.2667
Low	Trial     6	B1	0:28:00-0:29:00	60	1	60	100	57.84	1	57.84	96.4	2.16	1	2.16	3.6
Low	Trial     6	B1	0:29:00-0:30:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:30:00-0:31:00	60	1	60	100	11.28	5	56.4	94	0.9	4	3.6	6
Low	Trial     6	B1	0:31:00-0:32:00	11.44	5	57.2	95.3333	3.63714	14	50.92	84.8667	0.697778	9	6.28	10.4667
Low	Trial     6	B1	0:32:00-0:33:00	60	1	60	100	13.44	4	53.76	89.6	2.08	3	6.24	10.4
Low	Trial     6	B1	0:33:00-0:34:00	60	1	60	100	5.83111	9	52.48	87.4667	0.94	8	7.52	12.5333
Low	Trial     6	B1	0:34:00-0:35:00	60	1	60	100	4.804	10	48.04	80.0667	1.08364	11	11.92	19.8667
Low	Trial     6	B1	0:35:00-0:36:00	60	1	60	100	6.89333	6	41.36	68.9333	2.66286	7	18.64	31.0667
Low	Trial     6	B1	0:36:00-0:37:00	60	1	60	100	8.704	5	43.52	72.5333	4.11	4	16.44	27.4
Low	Trial     6	B1	0:37:00-0:38:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
Low	Trial     6	B1	0:38:00-0:39:00	60	1	60	100	23.88	2	47.76	79.6	12.24	1	12.24	20.4
Low	Trial     6	B1	0:39:00-0:40:00	60	1	60	100	10.688	5	53.44	89.0667	1.64	4	6.56	10.9333
Low	Trial     6	B1	0:40:00-0:41:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:41:00-0:42:00	60	1	60	100	29.94	2	59.88	99.8	0.12	1	0.12	0.2
Low	Trial     6	B1	0:42:00-0:43:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B1	0:43:00-0:44:00	60	1	60	100	12.7867	3	38.36	63.9333	10.82	2	21.64	36.0667
Low	Trial     6	B1	0:44:00-0:45:00	60	1	60	100	8.21	4	32.84	54.7333	6.79	4	27.16	45.2667
Low	Trial     6	B4	Start-0:01:00	60	1	60	100	3.97	4	15.88	26.4667	7.34	6	44.04	73.4
Low	Trial     6	B4	0:01:00-0:02:00	60	1	60	100	3.4	8	27.2	45.3333	4.1	8	32.8	54.6667
Low	Trial     6	B4	0:02:00-0:03:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:03:00-0:04:00	60	1	60	100	29.94	2	59.88	99.8	0.12	1	0.12	0.2
Low	Trial     6	B4	0:04:00-0:05:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:05:00-0:06:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:06:00-0:07:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:07:00-0:08:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:08:00-0:09:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:09:00-0:10:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:10:00-0:11:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:12:00-0:13:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:13:00-0:14:00	60	1	60	100	21.6	2	43.2	72	8.4	2	16.8	28
Low	Trial     6	B4	0:14:00-0:15:00	29.96	2	59.92	99.8667	19.2	2	38.4	64	21.52	1	21.52	35.8667
Low	Trial     6	B4	0:15:00-0:16:00	60	1	60	100	4.02769	13	52.36	87.2667	0.636667	12	7.64	12.7333
Low	Trial     6	B4	0:16:00-0:17:00	60	1	60	100	9.87333	6	59.24	98.7333	0.152	5	0.76	1.26667
Low	Trial     6	B4	0:17:00-0:18:00	60	1	60	100	9.28	6	55.68	92.8	0.864	5	4.32	7.2
Low	Trial     6	B4	0:18:00-0:19:00	60	1	60	100	9.56	6	57.36	95.6	0.528	5	2.64	4.4
Low	Trial     6	B4	0:19:00-0:20:00	60	1	60	100	19.6933	3	59.08	98.4667	0.46	2	0.92	1.53333
Low	Trial     6	B4	0:20:00-0:21:00	60	1	60	100	24.2	2	48.4	80.6667	11.6	1	11.6	19.3333
Low	Trial     6	B4	0:21:00-0:22:00	60	1	60	100	14.6533	3	43.96	73.2667	5.34667	3	16.04	26.7333
Low	Trial     6	B4	0:22:00-0:23:00	60	1	60	100	51.48	1	51.48	85.8	8.52	1	8.52	14.2
Low	Trial     6	B4	0:23:00-0:24:00	18.9467	3	56.84	94.7333	10.256	5	51.28	85.4667	2.78	2	5.56	9.26667
Low	Trial     6	B4	0:24:00-0:25:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:25:00-0:26:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
Low	Trial     6	B4	0:26:00-0:27:00	60	1	60	100	17.68	1	17.68	29.4667	42.32	1	42.32	70.5333
Low	Trial     6	B4	0:27:00-0:28:00	60	1	60	100	7.56	4	30.24	50.4	7.44	4	29.76	49.6
Low	Trial     6	B4	0:28:00-0:29:00	60	1	60	100	29.94	2	59.88	99.8	0.12	1	0.12	0.2
Low	Trial     6	B4	0:29:00-0:30:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:30:00-0:31:00	60	1	60	100	8.29143	7	58.04	96.7333	0.32	6	1.92	3.2
Low	Trial     6	B4	0:31:00-0:32:00	60	1	60	100	11.64	5	58.2	97	0.45	4	1.8	3
Low	Trial     6	B4	0:32:00-0:33:00	60	1	60	100	7.99429	7	55.96	93.2667	0.673333	6	4.04	6.73333
Low	Trial     6	B4	0:33:00-0:34:00	60	1	60	100	19.7467	3	59.24	98.7333	0.38	2	0.76	1.26667
Low	Trial     6	B4	0:34:00-0:35:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:35:00-0:36:00	60	1	60	100	1.94667	18	35.04	58.4	1.46588	17	24.92	41.5333
Low	Trial     6	B4	0:36:00-0:37:00	60	1	60	100	4.02909	11	44.32	73.8667	1.42182	11	15.64	26.0667
Low	Trial     6	B4	0:37:00-0:38:00	60	1	60	100	4.66667	6	28	46.6667	5.33333	6	32	53.3333
Low	Trial     6	B4	0:38:00-0:39:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     6	B4	0:39:00-0:40:00	60	1	60	100	47.76	1	47.76	79.6	12.24	1	12.24	20.4
Low	Trial     6	B4	0:40:00-0:41:00	60	1	60	100	24.52	2	49.04	81.7333	5.48	2	10.96	18.2667
Low	Trial     6	B4	0:41:00-0:42:00	60	1	60	100	29.96	2	59.92	99.8667	0.08	1	0.08	0.133333
Low	Trial     6	B4	0:42:00-0:43:00	60	1	60	100	14.4	4	57.6	96	0.8	3	2.4	4
Low	Trial     6	B4	0:43:00-0:44:00	60	1	60	100	29.94	2	59.88	99.8	0.12	1	0.12	0.2
Low	Trial     6	B4	0:44:00-0:45:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
Medium	Trial     1	B2	Start-0:01:00	6.43	4	25.72	42.8667	6.78	2	13.56	22.6	2.02667	6	12.16	20.2667
Medium	Trial     1	B2	0:01:00-0:02:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	B2	0:02:00-0:03:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	B2	0:03:00-0:04:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	B2	0:04:00-0:05:00	60	1	60	100	0.8	1	0.8	1.33333	29.6	2	59.2	98.6667
Medium	Trial     1	B2	0:05:00-0:06:00	29.96	2	59.92	99.8667	NA	0	0	0	29.96	2	59.92	99.8667
Medium	Trial     1	B2	0:06:00-0:07:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	B2	0:07:00-0:08:00	29.98	2	59.96	99.9333	28.14	2	56.28	93.8	3.68	1	3.68	6.13333
Medium	Trial     1	B2	0:08:00-0:09:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
Medium	Trial     1	B2	0:09:00-0:10:00	29.94	2	59.88	99.8	29.94	2	59.88	99.8	NA	0	0	0
Medium	Trial     1	B2	0:10:00-0:11:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
Medium	Trial     1	B2	0:11:00-0:12:00	60	1	60	100	16.64	2	33.28	55.4667	26.72	1	26.72	44.5333
Medium	Trial     1	B2	0:12:00-0:13:00	29.98	2	59.96	99.9333	11.75	4	47	78.3333	6.48	2	12.96	21.6
Medium	Trial     1	B2	0:13:00-0:14:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	B2	0:14:00-0:15:00	60	1	60	100	29.9	2	59.8	99.6667	0.2	1	0.2	0.333333
Medium	Trial     1	B2	0:15:00-0:16:00	60	1	60	100	6.31556	9	56.84	94.7333	0.395	8	3.16	5.26667
Medium	Trial     1	B2	0:16:00-0:17:00	60	1	60	100	3.98667	12	47.84	79.7333	1.10545	11	12.16	20.2667
Medium	Trial     1	B2	0:17:00-0:18:00	60	1	60	100	9.58667	6	57.52	95.8667	0.496	5	2.48	4.13333
Medium	Trial     1	B2	0:18:00-0:19:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	B2	0:19:00-0:20:00	60	1	60	100	19.2533	3	57.76	96.2667	1.12	2	2.24	3.73333
Medium	Trial     1	B2	0:20:00-0:21:00	60	1	60	100	1.072	30	32.16	53.6	0.96	29	27.84	46.4
Medium	Trial     1	B2	0:21:00-0:22:00	60	1	60	100	2.61778	9	23.56	39.2667	4.04889	9	36.44	60.7333
Medium	Trial     1	B2	0:22:00-0:23:00	60	1	60	100	0.788	20	15.76	26.2667	2.21	20	44.2	73.6667
Medium	Trial     1	B2	0:23:00-0:24:00	60	1	60	100	23.74	2	47.48	79.1333	4.17333	3	12.52	20.8667
Medium	Trial     1	B2	0:24:00-0:25:00	60	1	60	100	3.60308	13	46.84	78.0667	1.01231	13	13.16	21.9333
Medium	Trial     1	B2	0:25:00-0:26:00	60	1	60	100	4.96	2	9.92	16.5333	25.04	2	50.08	83.4667
Medium	Trial     1	B2	0:26:00-0:27:00	60	1	60	100	51.96	1	51.96	86.6	8.04	1	8.04	13.4
Medium	Trial     1	B2	0:27:00-0:28:00	60	1	60	100	8.064	5	40.32	67.2	3.936	5	19.68	32.8
Medium	Trial     1	B2	0:28:00-0:29:00	60	1	60	100	18.9467	3	56.84	94.7333	1.05333	3	3.16	5.26667
Medium	Trial     1	B2	0:29:00-0:30:00	60	1	60	100	12.44	4	49.76	82.9333	3.41333	3	10.24	17.0667
Medium	Trial     1	B2	0:30:00-0:31:00	60	1	60	100	11.848	5	59.24	98.7333	0.19	4	0.76	1.26667
Medium	Trial     1	B2	0:31:00-0:32:00	60	1	60	100	9.46	6	56.76	94.6	0.648	5	3.24	5.4
Medium	Trial     1	B2	0:32:00-0:33:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	B2	0:33:00-0:34:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	B2	0:34:00-0:35:00	60	1	60	100	29.54	2	59.08	98.4667	0.92	1	0.92	1.53333
Medium	Trial     1	B2	0:35:00-0:36:00	29.94	2	59.88	99.8	7.1	6	42.6	71	4.32	4	17.28	28.8
Medium	Trial     1	B2	0:36:00-0:37:00	60	1	60	100	4.635	8	37.08	61.8	3.27429	7	22.92	38.2
Medium	Trial     1	B2	0:37:00-0:38:00	60	1	60	100	2.66769	13	34.68	57.8	1.94769	13	25.32	42.2
Medium	Trial     1	B2	0:38:00-0:39:00	60	1	60	100	35.64	1	35.64	59.4	24.36	1	24.36	40.6
Medium	Trial     1	B2	0:39:00-0:40:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
Medium	Trial     1	B2	0:40:00-0:41:00	60	1	60	100	1.83273	11	20.16	33.6	3.61818	11	39.8	66.3333
Medium	Trial     1	B2	0:41:00-0:42:00	60	1	60	100	10.96	3	32.88	54.8	6.78	4	27.12	45.2
Medium	Trial     1	B2	0:42:00-0:43:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	B2	0:43:00-0:44:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	B2	0:44:00-0:45:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	C2	Start-0:01:00	60	1	60	100	1.57333	9	14.16	23.6	5.09333	9	45.84	76.4
Medium	Trial     1	C2	0:01:00-0:02:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	C2	0:02:00-0:03:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	C2	0:03:00-0:04:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	C2	0:04:00-0:05:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	C2	0:05:00-0:06:00	29.96	2	59.92	99.8667	10.512	5	52.56	87.6	1.472	5	7.36	12.2667
Medium	Trial     1	C2	0:06:00-0:07:00	60	1	60	100	15.32	3	45.96	76.6	7.02	2	14.04	23.4
Medium	Trial     1	C2	0:07:00-0:08:00	29.98	2	59.96	99.9333	6.23429	7	43.64	72.7333	3.264	5	16.32	27.2
Medium	Trial     1	C2	0:08:00-0:09:00	29.96	2	59.92	99.8667	13.68	3	41.04	68.4	6.29333	3	18.88	31.4667
Medium	Trial     1	C2	0:09:00-0:10:00	29.94	2	59.88	99.8	24.64	2	49.28	82.1333	10.6	1	10.6	17.6667
Medium	Trial     1	C2	0:10:00-0:11:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	C2	0:11:00-0:12:00	60	1	60	100	25.88	1	25.88	43.1333	34.12	1	34.12	56.8667
Medium	Trial     1	C2	0:12:00-0:13:00	29.98	2	59.96	99.9333	10.4533	3	31.36	52.2667	9.53333	3	28.6	47.6667
Medium	Trial     1	C2	0:13:00-0:14:00	60	1	60	100	26.26	2	52.52	87.5333	3.74	2	7.48	12.4667
Medium	Trial     1	C2	0:14:00-0:15:00	60	1	60	100	10.32	4	41.28	68.8	4.68	4	18.72	31.2
Medium	Trial     1	C2	0:15:00-0:16:00	60	1	60	100	14.45	4	57.8	96.3333	0.733333	3	2.2	3.66667
Medium	Trial     1	C2	0:16:00-0:17:00	10.72	4	42.88	71.4667	8.528	5	42.64	71.0667	0.24	1	0.24	0.4
Medium	Trial     1	C2	0:17:00-0:18:00	60	1	60	100	9.624	5	48.12	80.2	2.97	4	11.88	19.8
Medium	Trial     1	C2	0:18:00-0:19:00	60	1	60	100	9.17333	6	55.04	91.7333	0.992	5	4.96	8.26667
Medium	Trial     1	C2	0:19:00-0:20:00	60	1	60	100	8.58	4	34.32	57.2	8.56	3	25.68	42.8
Medium	Trial     1	C2	0:20:00-0:21:00	60	1	60	100	3.69778	9	33.28	55.4667	2.96889	9	26.72	44.5333
Medium	Trial     1	C2	0:21:00-0:22:00	29.92	2	59.84	99.7333	2.50545	11	27.56	45.9333	2.93455	11	32.28	53.8
Medium	Trial     1	C2	0:22:00-0:23:00	60	1	60	100	8.04667	6	48.28	80.4667	1.95333	6	11.72	19.5333
Medium	Trial     1	C2	0:23:00-0:24:00	8.93333	6	53.6	89.3333	2.84	11	31.24	52.0667	4.472	5	22.36	37.2667
Medium	Trial     1	C2	0:24:00-0:25:00	60	1	60	100	9.832	5	49.16	81.9333	2.71	4	10.84	18.0667
Medium	Trial     1	C2	0:25:00-0:26:00	60	1	60	100	16.5067	3	49.52	82.5333	5.24	2	10.48	17.4667
Medium	Trial     1	C2	0:26:00-0:27:00	60	1	60	100	5.74667	6	34.48	57.4667	5.104	5	25.52	42.5333
Medium	Trial     1	C2	0:27:00-0:28:00	60	1	60	100	1.39692	13	18.16	30.2667	3.8	11	41.8	69.6667
Medium	Trial     1	C2	0:28:00-0:29:00	60	1	60	100	8.83	4	35.32	58.8667	8.21333	3	24.64	41.0667
Medium	Trial     1	C2	0:29:00-0:30:00	60	1	60	100	1.42667	3	4.28	7.13333	18.5733	3	55.72	92.8667
Medium	Trial     1	C2	0:30:00-0:31:00	28.94	2	57.88	96.4667	10.736	5	53.68	89.4667	1.05	4	4.2	7
Medium	Trial     1	C2	0:31:00-0:32:00	60	1	60	100	22.72	2	45.44	75.7333	7.26	2	14.52	24.2
Medium	Trial     1	C2	0:32:00-0:33:00	60	1	60	100	13.88	3	41.64	69.4	4.59	4	18.36	30.6
Medium	Trial     1	C2	0:33:00-0:34:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	C2	0:34:00-0:35:00	60	1	60	100	NA	0	0	0	60	1	60	100
Medium	Trial     1	C2	0:35:00-0:36:00	29.94	2	59.88	99.8	3.68	10	36.8	61.3333	2.304	10	23.04	38.4
Medium	Trial     1	C2	0:36:00-0:37:00	60	1	60	100	2.58222	9	23.24	38.7333	4.08444	9	36.76	61.2667
Medium	Trial     1	C2	0:37:00-0:38:00	60	1	60	100	5.88	2	11.76	19.6	24.12	2	48.24	80.4
Medium	Trial     1	C2	0:38:00-0:39:00	60	1	60	100	1.84889	9	16.64	27.7333	4.81778	9	43.36	72.2667
Medium	Trial     1	C2	0:39:00-0:40:00	29.96	2	59.92	99.8667	1.23667	12	14.84	24.7333	3.46462	13	45.04	75.0667
Medium	Trial     1	C2	0:40:00-0:41:00	60	1	60	100	55.96	1	55.96	93.2667	4.04	1	4.04	6.73333
Medium	Trial     1	C2	0:41:00-0:42:00	60	1	60	100	27.8	2	55.6	92.6667	4.4	1	4.4	7.33333
Medium	Trial     1	C2	0:42:00-0:43:00	60	1	60	100	3.4	14	47.6	79.3333	0.950769	13	12.36	20.6
Medium	Trial     1	C2	0:43:00-0:44:00	60	1	60	100	1.96	3	5.88	9.8	13.53	4	54.12	90.2
Medium	Trial     1	C2	0:44:00-0:45:00	60	1	60	100	3.915	8	31.32	52.2	3.585	8	28.68	47.8
Medium	Trial     1	C4	Start-0:01:00	60	1	60	100	29.96	2	59.92	99.8667	0.08	1	0.08	0.133333
Medium	Trial     1	C4	0:01:00-0:02:00	60	1	60	100	56.52	1	56.52	94.2	3.48	1	3.48	5.8
Medium	Trial     1	C4	0:02:00-0:03:00	60	1	60	100	18.5067	3	55.52	92.5333	1.49333	3	4.48	7.46667
Medium	Trial     1	C4	0:03:00-0:04:00	60	1	60	100	19.8533	3	59.56	99.2667	0.2	2	0.4	0.666667
Medium	Trial     1	C4	0:04:00-0:05:00	19.6	3	58.8	98	5.41714	7	37.92	63.2	5.22	4	20.88	34.8
Medium	Trial     1	C4	0:05:00-0:06:00	19.84	3	59.52	99.2	19.84	3	59.52	99.2	NA	0	0	0
Medium	Trial     1	C4	0:06:00-0:07:00	60	1	60	100	16.9067	3	50.72	84.5333	4.64	2	9.28	15.4667
Medium	Trial     1	C4	0:07:00-0:08:00	29.98	2	59.96	99.9333	7.896	5	39.48	65.8	6.82667	3	20.48	34.1333
Medium	Trial     1	C4	0:08:00-0:09:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
Medium	Trial     1	C4	0:09:00-0:10:00	29.94	2	59.88	99.8	9.48	6	56.88	94.8	0.75	4	3	5
Medium	Trial     1	C4	0:10:00-0:11:00	60	1	60	100	21.3	2	42.6	71	17.4	1	17.4	29
Medium	Trial     1	C4	0:11:00-0:12:00	60	1	60	100	8.08	1	8.08	13.4667	51.92	1	51.92	86.5333
Medium	Trial     1	C4	0:12:00-0:13:00	29.98	2	59.96	99.9333	23.46	2	46.92	78.2	13.04	1	13.04	21.7333
Medium	Trial     1	C4	0:13:00-0:14:00	60	1	60	100	60	1	60	100	NA	0	0	0
Medium	Trial     1	C4	0:14:00-0:15:00	60	1	60	100	47.32	1	47.32	78.8667	12.68	1	12.68	21.1333
Medium	Trial     1	C4	0:15:00-0:16:00	60	1	60	100	9.62667	6	57.76	96.2667	0.366667	6	2.2	3.66667
Medium	Trial     1	C4	0:16:00-0:17:00	60	1	60	100	7.09	8	56.72	94.5333	0.468571	7	3.28	5.46667
Medium	Trial     1	C4	0:17:00-0:18:00	60	1	60	100	4.04	13	52.52	87.5333	0.62	12	7.44	12.4
Medium	Trial     1	C4	0:18:00-0:19:00	60	1	60	100	3.035	16	48.56	80.9333	0.631111	18	11.36	18.9333
Medium	Trial     1	C4	0:19:00-0:20:00	60	1	60	100	3.064	15	45.96	76.6	0.936	15	14.04	23.4
Medium	Trial     1	C4	0:20:00-0:21:00	11.76	4	47.04	78.4	2.56571	14	35.92	59.8667	1.112	10	11.12	18.5333
Medium	Trial     1	C4	0:21:00-0:22:00	60	1	60	100	5.13	4	20.52	34.2	7.888	5	39.44	65.7333
Medium	Trial     1	C4	0:22:00-0:23:00	60	1	60	100	20.8	1	20.8	34.6667	19.6	2	39.2	65.3333
Medium	Trial     1	C4	0:23:00-0:24:00	60	1	60	100	2.552	5	12.76	21.2667	7.87333	6	47.24	78.7333
Medium	Trial     1	C4	0:24:00-0:25:00	60	1	60	100	54.08	1	54.08	90.1333	5.92	1	5.92	9.86667
Medium	Trial     1	C4	0:25:00-0:26:00	22.9	2	45.8	76.3333	15.2533	3	45.76	76.2667	0.04	1	0.04	0.0666667
Medium	Trial     1	C4	0:26:00-0:27:00	60	1	60	100	13.06	4	52.24	87.0667	2.58667	3	7.76	12.9333
Medium	Trial     1	C4	0:27:00-0:28:00	60	1	60	100	0.714286	7	5	8.33333	7.85714	7	55	91.6667
Medium	Trial     1	C4	0:28:00-0:29:00	60	1	60	100	3.96	1	3.96	6.6	28.02	2	56.04	93.4
