					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
Low	Trial     6	B4	0:28:00-0:29:00	In Arena	1.87731	39	1.84	3	0.32	11	56.84	113.011	47.3117	2825.28	5	7
Low	Trial     6	B4	0:29:00-0:30:00	In Arena	2.88375	149	6.64	5	0.8	22	48	96.7685	37.877	2419.21	5	7
Low	Trial     6	B4	0:30:00-0:31:00	In Arena	13.2429	598	29.68	17	6	29	7.04	38.2826	2.43368	957.064	3	6
Low	Trial     6	B4	0:31:00-0:32:00	In Arena	10.3952	664	28.28	11	1.88	15	5.56	30.6965	2.66416	767.413	2	1
Low	Trial     6	B4	0:32:00-0:33:00	In Arena	10.3838	654	28.4	10	2.36	18	5.72	28.4449	1.77536	711.124	0	1
Low	Trial     6	B4	0:33:00-0:34:00	In Arena	9.97279	675	28.2	6	1.24	25	5.16	29.9562	1.53687	748.904	1	1
Low	Trial     6	B4	0:34:00-0:35:00	In Arena	10.0212	706	29.32	6	1.12	18	2.88	25.7532	1.47411	643.831	1	0
Low	Trial     6	B4	0:35:00-0:36:00	In Arena	4.98525	307	12.88	5	0.64	71	36.44	91.0503	23.732	2276.26	11	11
Low	Trial     6	B4	0:36:00-0:37:00	In Arena	3.16464	180	7.36	1	0.16	33	46.16	100.137	37.785	2503.42	3	4
Low	Trial     6	B4	0:37:00-0:38:00	In Arena	2.52051	127	5.36	2	0.28	27	49.88	109.086	49.1795	2727.14	5	6
Low	Trial     6	B4	0:38:00-0:39:00	In Arena	1.40905	37	1.68	1	0.24	8	57	113.658	49.9886	2841.46	2	1
Low	Trial     6	B4	0:39:00-0:40:00	In Arena	2.07106	75	3.12	4	0.2	20	54.24	111.268	45.9703	2781.71	2	4
Low	Trial     6	B4	0:40:00-0:41:00	In Arena	2.30308	94	4.48	4	0.72	15	52.08	95.1504	44.6549	2378.76	1	3
Low	Trial     6	B4	0:41:00-0:42:00	In Arena	4.11086	180	8.84	7	1.84	22	44.52	88.7029	36.2058	2217.57	2	5
Low	Trial     6	B4	0:42:00-0:43:00	In Arena	4.27682	260	11.4	6	1.2	34	38.96	77.387	28.5251	1934.68	3	8
Low	Trial     6	B4	0:43:00-0:44:00	In Arena	3.19842	181	7.8	5	0.68	37	45.96	87.0479	32.4727	2176.2	2	4
Low	Trial     6	B4	0:44:00-0:45:00	In Arena	3.8627	258	10.76	2	0.44	40	39.8	80.4205	28.9163	2010.51	2	8
Medium	Trial     1	B2	Start-0:01:00	In Arena	2.26783	26	1.6	4	0.64	12	22.84	111.396	57.8494	2784.91	0	0
Medium	Trial     1	B2	0:01:00-0:02:00	In Arena	0.729859	3	0.12	0	0	1	59.72	119.02	62.0662	2975.5	0	0
Medium	Trial     1	B2	0:02:00-0:03:00	In Arena	0.651077	0	0	0	0	1	60	119.508	68.626	2987.7	0	0
Medium	Trial     1	B2	0:03:00-0:04:00	In Arena	0.658549	0	0	0	0	1	60	119.078	62.5754	2976.95	0	0
Medium	Trial     1	B2	0:04:00-0:05:00	In Arena	1.62609	11	0.68	1	0.24	5	58.92	115.916	48.3708	2897.9	2	3
Medium	Trial     1	B2	0:05:00-0:06:00	In Arena	2.63372	4	0.16	0	0	5	59.72	115.033	19.3418	2875.83	17	11
Medium	Trial     1	B2	0:06:00-0:07:00	In Arena	1.59572	1	0.04	0	0	2	59.96	115.945	27.4692	2898.63	3	3
Medium	Trial     1	B2	0:07:00-0:08:00	In Arena	0.970842	10	0.68	2	0.28	4	58.88	118.735	62.8847	2968.38	1	1
Medium	Trial     1	B2	0:08:00-0:09:00	In Arena	0.622191	0	0	0	0	2	59.92	122.095	73.729	3052.39	0	0
Medium	Trial     1	B2	0:09:00-0:10:00	In Arena	0.619192	0	0	0	0	2	59.88	119.925	68.005	2998.13	0	0
Medium	Trial     1	B2	0:10:00-0:11:00	In Arena	1.36244	14	1.12	2	0.6	5	58.44	118.231	65.2906	2955.78	2	1
Medium	Trial     1	B2	0:11:00-0:12:00	In Arena	1.78021	13	0.76	1	0.24	3	58.76	114.753	40.0621	2868.83	2	0
Medium	Trial     1	B2	0:12:00-0:13:00	In Arena	3.1346	143	6.04	3	0.4	58	49.48	115.914	31.5247	2897.86	17	28
Medium	Trial     1	B2	0:13:00-0:14:00	In Arena	1.92488	54	2.68	5	0.6	19	55.56	112.94	51.334	2823.5	2	4
Medium	Trial     1	B2	0:14:00-0:15:00	In Arena	1.49317	21	1.12	1	0.28	9	58.24	117.999	52.397	2949.97	4	2
Medium	Trial     1	B2	0:15:00-0:16:00	In Arena	9.33648	344	18.12	18	4.64	22	28.44	80.6187	15.994	2015.47	5	9
Medium	Trial     1	B2	0:16:00-0:17:00	In Arena	6.89432	353	16.12	12	2.24	23	30.36	92.0067	16.8632	2300.17	5	4
Medium	Trial     1	B2	0:17:00-0:18:00	In Arena	4.04791	128	6.36	6	1.32	23	48.96	121.403	22.9254	3035.07	5	4
Medium	Trial     1	B2	0:18:00-0:19:00	In Arena	2.15061	3	0.12	0	0	3	59.8	145.811	28.364	3645.28	2	3
Medium	Trial     1	B2	0:19:00-0:20:00	In Arena	3.87708	114	5	4	0.6	12	50.68	120.679	21.9841	3016.97	3	6
Medium	Trial     1	B2	0:20:00-0:21:00	In Arena	6.31172	374	16.24	15	1.64	42	29.72	91.4395	19.7495	2285.99	6	9
Medium	Trial     1	B2	0:21:00-0:22:00	In Arena	4.47046	172	9.16	15	2.52	31	44.56	96.5771	37.2846	2414.43	3	7
Medium	Trial     1	B2	0:22:00-0:23:00	In Arena	3.90613	148	6.4	4	0.6	23	48.16	95.4015	21.7508	2385.04	3	3
Medium	Trial     1	B2	0:23:00-0:24:00	In Arena	3.30925	126	6	6	1.12	35	49.76	107.517	31.0542	2687.92	10	7
Medium	Trial     1	B2	0:24:00-0:25:00	In Arena	4.8085	219	10.52	17	2.2	42	41.68	96.3096	28.3865	2407.74	12	3
Medium	Trial     1	B2	0:25:00-0:26:00	In Arena	1.92011	79	3.4	1	0.24	17	53.72	115.288	60.3031	2882.2	4	3
Medium	Trial     1	B2	0:26:00-0:27:00	In Arena	1.91748	41	1.84	1	0.2	27	57	117.241	43.3876	2931.03	9	8
Medium	Trial     1	B2	0:27:00-0:28:00	In Arena	3.09913	152	6.44	3	0.44	45	48.6	108.093	33.3715	2702.33	11	11
Medium	Trial     1	B2	0:28:00-0:29:00	In Arena	2.07863	62	2.72	2	0.24	30	55.64	120.875	37.5828	3021.87	8	7
Medium	Trial     1	B2	0:29:00-0:30:00	In Arena	1.80882	35	2.04	4	0.76	6	56.6	120.89	53.4781	3022.24	1	3
Medium	Trial     1	B2	0:30:00-0:31:00	In Arena	7.14276	261	15.2	16	5.08	16	34.76	80.7284	27.1957	2018.21	4	1
Medium	Trial     1	B2	0:31:00-0:32:00	In Arena	1.98258	27	1.24	1	0.2	6	57.84	130.803	36.9282	3270.06	3	2
Medium	Trial     1	B2	0:32:00-0:33:00	In Arena	2.66188	36	1.72	1	0.32	12	57.04	134.765	23.722	3369.13	5	6
Medium	Trial     1	B2	0:33:00-0:34:00	In Arena	2.1185	3	0.12	0	0	3	59.76	144.472	28.0275	3611.81	2	3
Medium	Trial     1	B2	0:34:00-0:35:00	In Arena	2.4987	51	2.44	2	0.44	8	55.68	129.825	27.116	3245.62	3	2
Medium	Trial     1	B2	0:35:00-0:36:00	In Arena	2.68069	89	3.76	3	0.28	22	52.92	107.512	32.9294	2687.8	4	9
Medium	Trial     1	B2	0:36:00-0:37:00	In Arena	3.7176	203	8.92	6	0.84	33	43.64	91.3597	31.7177	2283.99	4	4
Medium	Trial     1	B2	0:37:00-0:38:00	In Arena	3.85029	193	8.76	7	1.12	51	44.68	98.3744	28.9377	2459.36	5	15
Medium	Trial     1	B2	0:38:00-0:39:00	In Arena	1.7979	48	2.08	2	0.24	10	56.2	110.885	37.4575	2772.12	2	3
Medium	Trial     1	B2	0:39:00-0:40:00	In Arena	1.01174	3	0.12	0	0	3	59.68	115.087	49.0218	2877.17	1	1
Medium	Trial     1	B2	0:40:00-0:41:00	In Arena	2.59717	52	3.48	9	1.64	12	54.68	107.794	46.113	2694.84	1	5
Medium	Trial     1	B2	0:41:00-0:42:00	In Arena	2.28595	78	3.68	3	0.6	43	54.36	116.866	49.5324	2921.64	8	8
Medium	Trial     1	B2	0:42:00-0:43:00	In Arena	2.22754	73	2.92	0	0	35	55	119.452	38.0075	2986.29	18	19
Medium	Trial     1	B2	0:43:00-0:44:00	In Arena	1.60676	22	0.88	0	0	13	58.56	118.947	49.3969	2973.67	15	9
Medium	Trial     1	B2	0:44:00-0:45:00	In Arena	2.32661	133	5.32	0	0	48	50.32	121.749	46.595	3043.71	14	14
Medium	Trial     1	C2	Start-0:01:00	In Arena	4.74011	168	9.12	20	2.88	28	44.56	96.1347	35.7438	2403.37	4	3
Medium	Trial     1	C2	0:01:00-0:02:00	In Arena	2.0135	10	0.4	0	0	7	59.32	118.513	31.0118	2962.84	8	11
Medium	Trial     1	C2	0:02:00-0:03:00	In Arena	1.90898	8	0.32	0	0	7	59.4	118.502	34.2138	2962.55	7	13
Medium	Trial     1	C2	0:03:00-0:04:00	In Arena	2.42492	37	1.48	0	0	26	57.48	119.882	30.3197	2997.04	15	20
Medium	Trial     1	C2	0:04:00-0:05:00	In Arena	2.33016	49	1.96	0	0	31	56.76	118.723	34.5547	2968.07	12	23
Medium	Trial     1	C2	0:05:00-0:06:00	In Arena	4.68745	262	11.84	5	1.52	67	39.04	113.738	27.15	2843.45	23	31
Medium	Trial     1	C2	0:06:00-0:07:00	In Arena	4.0173	155	7.96	11	1.92	43	46.68	106.674	29.1458	2666.84	10	13
Medium	Trial     1	C2	0:07:00-0:08:00	In Arena	2.95459	85	5.4	7	2.28	23	51.56	107.64	44.6883	2691	4	2
Medium	Trial     1	C2	0:08:00-0:09:00	In Arena	2.27382	59	3.84	7	1.56	12	54	112.298	56.5613	2807.46	4	1
Medium	Trial     1	C2	0:09:00-0:10:00	In Arena	2.38981	44	2.04	2	0.36	18	56.44	118.727	33.9113	2968.17	5	8
Medium	Trial     1	C2	0:10:00-0:11:00	In Arena	0.923075	0	0	0	0	1	60	119.738	57.6937	2993.44	1	1
Medium	Trial     1	C2	0:11:00-0:12:00	In Arena	1.52288	20	1.24	1	0.48	7	58.12	118.601	54.7801	2965.03	2	6
Medium	Trial     1	C2	0:12:00-0:13:00	In Arena	2.85013	66	4.2	7	1.68	26	53.72	112.374	46.6577	2809.34	9	6
Medium	Trial     1	C2	0:13:00-0:14:00	In Arena	3.29269	94	5.44	8	1.84	17	51.12	114.125	34.3733	2853.13	6	1
Medium	Trial     1	C2	0:14:00-0:15:00	In Arena	3.35356	106	5.72	8	1.68	25	50.56	112.385	35.1398	2809.63	8	7
Medium	Trial     1	C2	0:15:00-0:16:00	In Arena	8.63019	341	17.52	19	4.08	16	29	86.5785	12.8427	2164.46	5	4
Medium	Trial     1	C2	0:16:00-0:17:00	In Arena	4.76765	144	6.4	5	0.76	43	31.52	123.727	18.3252	3093.17	7	10
Medium	Trial     1	C2	0:17:00-0:18:00	In Arena	4.07899	171	7.56	4	0.76	32	46.36	121.84	21.5986	3046.01	4	7
Medium	Trial     1	C2	0:18:00-0:19:00	In Arena	3.63385	112	5.48	7	1.16	24	50.6	126.054	23.5776	3151.35	5	8
Medium	Trial     1	C2	0:19:00-0:20:00	In Arena	4.46535	88	4.64	4	1.16	32	52.4	141.019	20.4172	3525.47	6	9
Medium	Trial     1	C2	0:20:00-0:21:00	In Arena	3.8845	151	7.68	13	1.92	28	46.88	100.534	41.0655	2513.35	5	7
Medium	Trial     1	C2	0:21:00-0:22:00	In Arena	4.00237	183	8.64	13	1.56	42	44.76	95.9479	39.1847	2398.7	3	5
Medium	Trial     1	C2	0:22:00-0:23:00	In Arena	4.57451	203	10.16	12	2.24	55	42.96	108.472	30.8573	2711.79	14	16
Medium	Trial     1	C2	0:23:00-0:24:00	In Arena	3.68259	165	7.96	5	0.92	42	40.16	107.104	42.5617	2677.6	9	4
Medium	Trial     1	C2	0:24:00-0:25:00	In Arena	4.88531	257	11.4	9	1.32	75	40.04	113.081	21.4531	2827.01	24	23
Medium	Trial     1	C2	0:25:00-0:26:00	In Arena	5.64808	310	13.8	12	1.76	88	35.6	107.362	15.3074	2684.06	19	17
Medium	Trial     1	C2	0:26:00-0:27:00	In Arena	5.51693	318	14.04	7	1.52	90	35.2	101.622	13.5066	2540.56	15	15
Medium	Trial     1	C2	0:27:00-0:28:00	In Arena	4.25546	231	9.6	3	0.44	69	42.84	98.047	19.6267	2451.18	15	18
Medium	Trial     1	C2	0:28:00-0:29:00	In Arena	2.00824	45	2.76	5	1.04	13	55.56	112.029	59.2847	2800.72	1	2
Medium	Trial     1	C2	0:29:00-0:30:00	In Arena	3.50909	139	6.04	3	0.6	54	49.72	106.227	24.729	2655.67	25	17
Medium	Trial     1	C2	0:30:00-0:31:00	In Arena	8.85222	244	14.28	17	4.92	31	34.48	102.24	16.3598	2556.01	9	12
Medium	Trial     1	C2	0:31:00-0:32:00	In Arena	3.47252	111	4.88	5	0.56	24	51.24	123.54	22.1078	3088.5	11	5
Medium	Trial     1	C2	0:32:00-0:33:00	In Arena	4.11953	129	6.56	7	1.44	40	48.84	119.819	21.4299	2995.47	15	9
Medium	Trial     1	C2	0:33:00-0:34:00	In Arena	2.51112	41	1.64	0	0	22	57.12	143.92	23.9859	3598	6	12
Medium	Trial     1	C2	0:34:00-0:35:00	In Arena	3.7489	175	7	0	0	81	47.52	133.928	16.5792	3348.19	29	31
Medium	Trial     1	C2	0:35:00-0:36:00	In Arena	4.8058	259	11.48	11	1.36	61	39.4	98.106	25.5197	2452.65	16	11
Medium	Trial     1	C2	0:36:00-0:37:00	In Arena	5.48531	271	12.52	17	2.12	51	37.64	91.3405	24.778	2283.51	7	3
Medium	Trial     1	C2	0:37:00-0:38:00	In Arena	5.65557	248	11.96	24	2.52	45	39.08	94.9105	21.532	2372.76	9	8
Medium	Trial     1	C2	0:38:00-0:39:00	In Arena	4.78835	190	9.56	12	2.08	46	43.76	97.2955	24.5745	2432.39	11	6
Medium	Trial     1	C2	0:39:00-0:40:00	In Arena	4.34272	170	7.92	10	1.24	31	45.88	89.9056	23.5109	2247.64	5	2
Medium	Trial     1	C2	0:40:00-0:41:00	In Arena	4.26287	237	9.8	2	0.4	95	42.96	117.335	19.4074	2933.38	31	30
Medium	Trial     1	C2	0:41:00-0:42:00	In Arena	4.01574	218	9.12	3	0.44	88	44.04	121.234	20.3004	3030.85	23	28
Medium	Trial     1	C2	0:42:00-0:43:00	In Arena	5.59666	293	13.4	14	1.96	74	36.56	96.6133	16.953	2415.33	22	18
Medium	Trial     1	C2	0:43:00-0:44:00	In Arena	3.80739	165	6.76	3	0.24	49	47.64	105.434	22.0276	2635.85	9	14
Medium	Trial     1	C2	0:44:00-0:45:00	In Arena	3.84801	150	7.68	12	1.92	32	47.08	107.047	36.4968	2676.18	6	9
Medium	Trial     1	C4	Start-0:01:00	In Arena	2.86669	116	4.92	2	0.32	42	51.36	111.12	27.734	2778	11	10
Medium	Trial     1	C4	0:01:00-0:02:00	In Arena	3.32936	128	5.28	3	0.24	36	50.36	111.089	23.5787	2777.22	12	9
Medium	Trial     1	C4	0:02:00-0:03:00	In Arena	4.16712	231	10	2	0.84	74	42.6	107.298	24.9849	2682.46	15	10
Medium	Trial     1	C4	0:03:00-0:04:00	In Arena	3.59928	151	6.8	4	0.88	50	48.32	111.779	23.9165	2794.47	8	13
Medium	Trial     1	C4	0:04:00-0:05:00	In Arena	4.38739	202	9.8	10	1.96	67	42.48	108.425	29.6073	2710.63	9	15
Medium	Trial     1	C4	0:05:00-0:06:00	In Arena	3.00134	126	5.12	1	0.08	45	50.52	112.169	24.8984	2804.23	9	10
Medium	Trial     1	C4	0:06:00-0:07:00	In Arena	2.44634	72	3.72	5	1	23	53.88	111.602	45.147	2790.05	4	2
Medium	Trial     1	C4	0:07:00-0:08:00	In Arena	3.1924	95	5.68	8	2	30	51.24	108.565	35.5705	2714.11	10	3
Medium	Trial     1	C4	0:08:00-0:09:00	In Arena	2.75885	85	3.88	2	0.56	37	53.48	117.962	31.4841	2949.05	8	9
Medium	Trial     1	C4	0:09:00-0:10:00	In Arena	2.63154	67	3.88	7	1.4	21	53.8	105.823	40.6521	2645.57	5	5
Medium	Trial     1	C4	0:10:00-0:11:00	In Arena	1.9904	51	2.92	5	1	19	55.44	111.676	43.4519	2791.91	2	1
Medium	Trial     1	C4	0:11:00-0:12:00	In Arena	2.13816	17	1	4	0.44	8	58.64	120.019	36.6549	3000.47	2	2
Medium	Trial     1	C4	0:12:00-0:13:00	In Arena	2.21601	56	2.68	2	0.44	23	55.48	116.196	40.3165	2904.89	5	7
Medium	Trial     1	C4	0:13:00-0:14:00	In Arena	2.80828	107	4.96	7	0.76	32	51.44	106.076	35.6235	2651.91	3	6
Medium	Trial     1	C4	0:14:00-0:15:00	In Arena	1.93118	56	2.64	3	0.48	16	55.32	111.007	43.7978	2775.17	2	3
Medium	Trial     1	C4	0:15:00-0:16:00	In Arena	11.8197	510	26.76	21	6.72	40	13.6	55.5995	5.79636	1389.99	10	5
Medium	Trial     1	C4	0:16:00-0:17:00	In Arena	10.9991	633	28.28	15	3.16	19	6.72	49.4156	4.35788	1235.39	3	2
Medium	Trial     1	C4	0:17:00-0:18:00	In Arena	8.90689	563	24.72	15	2.48	40	13.64	61.453	5.76229	1536.33	4	3
Medium	Trial     1	C4	0:18:00-0:19:00	In Arena	9.36064	485	24.36	29	5.48	54	17.44	71.4686	7.36861	1786.72	6	7
Medium	Trial     1	C4	0:19:00-0:20:00	In Arena	8.50477	509	23.52	18	3.4	66	17.8	73.066	7.8276	1826.65	4	8
Medium	Trial     1	C4	0:20:00-0:21:00	In Arena	4.10281	153	7.12	6	0.84	39	34.6	93.896	29.4208	2347.4	5	5
Medium	Trial     1	C4	0:21:00-0:22:00	In Arena	3.17357	119	5.68	5	1	39	50.44	101.1	34.4454	2527.5	8	7
Medium	Trial     1	C4	0:22:00-0:23:00	In Arena	2.60791	112	4.92	3	0.52	35	51.28	108.495	37.0256	2712.38	3	10
Medium	Trial     1	C4	0:23:00-0:24:00	In Arena	2.22475	47	2.36	4	0.56	21	56.08	115.062	38.9661	2876.54	7	7
Medium	Trial     1	C4	0:24:00-0:25:00	In Arena	1.9764	75	3.2	3	0.24	22	54.36	114.23	47.8672	2855.75	3	5
Medium	Trial     1	C4	0:25:00-0:26:00	In Arena	2.53824	67	3.44	6	0.96	19	40.16	112.754	44.3587	2818.86	3	2
Medium	Trial     1	C4	0:26:00-0:27:00	In Arena	2.20875	91	3.96	4	0.48	17	52.72	110.062	47.0128	2751.56	7	4
Medium	Trial     1	C4	0:27:00-0:28:00	In Arena	1.84953	37	1.72	1	0.24	12	57.12	117.1	45.3154	2927.51	8	5
Medium	Trial     1	C4	0:28:00-0:29:00	In Arena	1.14909	13	0.64	1	0.16	5	58.88	119.678	58.3227	2991.94	0	1
Medium	Trial     1	C4	0:29:00-0:30:00	In Arena	1.45017	31	1.72	3	0.52	11	57.16	114.816	54.1152	2870.4	2	1
Medium	Trial     1	C4	0:30:00-0:31:00	In Arena	7.58584	306	15.68	18	3.84	37	32.76	93.7547	15.5065	2343.87	7	11
Medium	Trial     1	C4	0:31:00-0:32:00	In Arena	3.69534	104	5.28	6	1.28	17	50.92	123.564	24.1662	3089.11	1	5
Medium	Trial     1	C4	0:32:00-0:33:00	In Arena	4.36715	160	7.64	8	1.52	28	46.64	122.211	18.7118	3055.28	9	9
Medium	Trial     1	C4	0:33:00-0:34:00	In Arena	2.66595	40	1.96	3	0.44	11	56.68	137.311	25.309	3432.78	7	1
Medium	Trial     1	C4	0:34:00-0:35:00	In Arena	2.11169	5	0.2	0	0	4	59.68	151.157	25.3087	3778.93	1	0
Medium	Trial     1	C4	0:35:00-0:36:00	In Arena	2.8925	121	5.2	3	0.44	28	50.32	104.73	39.1186	2618.26	6	6
Medium	Trial     1	C4	0:36:00-0:37:00	In Arena	2.44935	85	4.16	5	0.8	18	52.96	106.723	43.7723	2668.08	1	1
Medium	Trial     1	C4	0:37:00-0:38:00	In Arena	2.41841	107	4.48	2	0.24	22	51.56	97.8045	39.5305	2445.11	1	3
Medium	Trial     1	C4	0:38:00-0:39:00	In Arena	2.32082	64	3.04	3	0.52	18	51.08	108.438	39.5651	2710.96	2	7
Medium	Trial     1	C4	0:39:00-0:40:00	In Arena	3.00874	99	4.2	3	0.32	22	52.4	100.24	26.1016	2505.99	4	6
Medium	Trial     1	C4	0:40:00-0:41:00	In Arena	2.63788	72	3.6	6	0.92	20	54.04	101.169	32.4054	2529.23	2	2
Medium	Trial     1	C4	0:41:00-0:42:00	In Arena	2.25732	51	3.08	6	1.16	15	55.04	109.606	40.3777	2740.16	2	2
Medium	Trial     1	C4	0:42:00-0:43:00	In Arena	2.41934	91	4.24	5	0.72	25	52.64	108.668	42.5779	2716.69	1	10
Medium	Trial     1	C4	0:43:00-0:44:00	In Arena	3.04222	111	4.96	2	0.56	33	51.32	108.551	27.7025	2713.79	14	13
Medium	Trial     1	C4	0:44:00-0:45:00	In Arena	2.47411	97	4.36	4	0.52	29	52.4	113.018	39.9831	2825.44	8	15
Medium	Trial     2	A1	0:15:00-0:16:00	In Arena	1.8884	77	3.6	4	0.64	20	48.8	113.694	58.3281	2842.36	1	5
Medium	Trial     2	A1	0:16:00-0:17:00	In Arena	0.70258	0	0	0	0	2	59.88	120.643	62.0247	3016.07	0	0
Medium	Trial     2	A1	0:17:00-0:18:00	In Arena	0.766511	0	0	0	0	1	60	119.172	56.2436	2979.29	0	0
Medium	Trial     2	A1	0:18:00-0:19:00	In Arena	0.839609	0	0	0	0	1	60	120.175	51.3403	3004.37	0	0
Medium	Trial     2	A1	0:19:00-0:20:00	In Arena	0.866446	0	0	0	0	1	60	120.812	52.8632	3020.31	0	0
Medium	Trial     2	A1	0:20:00-0:21:00	In Arena	1.2007	0	0	0	0	1	60	120.432	39.926	3010.79	0	0
Medium	Trial     2	A1	0:21:00-0:22:00	In Arena	1.05408	0	0	0	0	1	60	120.453	44.9569	3011.34	0	0
Medium	Trial     2	A1	0:22:00-0:23:00	In Arena	1.00503	0	0	0	0	1	60	120.976	47.1727	3024.39	0	0
Medium	Trial     2	A1	0:23:00-0:24:00	In Arena	0.901988	0	0	0	0	1	60	117.046	50.2226	2926.15	0	0
Medium	Trial     2	A1	0:24:00-0:25:00	In Arena	0.885664	0	0	0	0	2	59.88	120.06	49.009	3001.5	0	0
Medium	Trial     2	A1	0:25:00-0:26:00	In Arena	0.864938	0	0	0	0	1	60	120.474	51.3002	3011.84	0	0
Medium	Trial     2	A1	0:26:00-0:27:00	In Arena	0.818036	0	0	0	0	1	60	119.75	54.4656	2993.76	0	0
Medium	Trial     2	A1	0:27:00-0:28:00	In Arena	0.831796	0	0	0	0	1	60	120.931	52.1249	3023.28	0	0
Medium	Trial     2	A1	0:28:00-0:29:00	In Arena	0.766157	0	0	0	0	1	60	118.296	56.6853	2957.39	0	0
Medium	Trial     2	A1	0:29:00-0:30:00	In Arena	0.76823	0	0	0	0	1	60	119.255	59.7133	2981.39	0	0
Medium	Trial     2	A1	0:30:00-0:31:00	In Arena	1.81937	47	2.76	4	0.96	10	55.56	113.491	57.1389	2837.27	0	2
Medium	Trial     2	A1	0:31:00-0:32:00	In Arena	0.747149	0	0	0	0	1	60	118.935	62.3545	2973.38	1	0
Medium	Trial     2	A1	0:32:00-0:33:00	In Arena	0.75207	0	0	0	0	1	60	118.226	56.7979	2955.65	0	0
Medium	Trial     2	A1	0:33:00-0:34:00	In Arena	0.803023	0	0	0	0	1	60	120.073	57.2239	3001.82	0	0
Medium	Trial     2	A1	0:34:00-0:35:00	In Arena	0.836602	0	0	0	0	1	60	120.726	63.4985	3018.15	0	0
Medium	Trial     2	A1	0:35:00-0:36:00	In Arena	1.04943	0	0	0	0	1	60	119.569	46.2167	2989.23	0	0
Medium	Trial     2	A1	0:36:00-0:37:00	In Arena	0.973972	0	0	0	0	1	60	121.043	43.4034	3026.06	0	0
Medium	Trial     2	A1	0:37:00-0:38:00	In Arena	0.899808	0	0	0	0	2	59.92	119.911	47.1322	2997.78	0	0
Medium	Trial     2	A1	0:38:00-0:39:00	In Arena	0.849191	0	0	0	0	1	60	119.141	51.3048	2978.52	0	0
Medium	Trial     2	A1	0:39:00-0:40:00	In Arena	0.833797	0	0	0	0	1	60	119.528	53.3616	2988.2	0	0
Medium	Trial     2	A1	0:40:00-0:41:00	In Arena	0.786265	0	0	0	0	1	60	119.511	55.6551	2987.77	0	0
Medium	Trial     2	A1	0:41:00-0:42:00	In Arena	0.800085	0	0	0	0	1	60	121.519	56.6252	3037.97	0	0
Medium	Trial     2	A1	0:42:00-0:43:00	In Arena	4.63989	129	8.44	17	3.56	24	46.88	104.476	34.0064	2611.91	7	9
Medium	Trial     2	A1	0:43:00-0:44:00	In Arena	3.51828	166	8.24	9	1.68	39	46.04	108.678	39.7224	2716.95	17	6
Medium	Trial     2	A1	0:44:00-0:45:00	In Arena	4.37008	174	8.28	9	1.64	25	40.4	95.319	27.4775	2382.98	2	5
Medium	Trial     2	B1	Start-0:01:00	In Arena	1.09531	11	0.72	2	0.32	3	58.84	117.952	57.8123	2948.8	0	1
Medium	Trial     2	B1	0:01:00-0:02:00	In Arena	1.48434	14	0.76	2	0.2	4	58.72	114.812	42.3109	2870.29	2	4
Medium	Trial     2	B1	0:02:00-0:03:00	In Arena	1.72862	37	1.96	3	0.52	10	56.72	112.551	46.4745	2813.77	2	1
Medium	Trial     2	B1	0:03:00-0:04:00	In Arena	1.50347	50	2.24	2	0.32	8	55.88	120.34	54.3048	3008.5	2	2
Medium	Trial     2	B1	0:04:00-0:05:00	In Arena	1.04245	10	0.6	1	0.2	6	59.12	117.394	50.9455	2934.84	0	1
Medium	Trial     2	B1	0:05:00-0:06:00	In Arena	0.649384	0	0	0	0	1	60	123.171	56.9711	3079.27	0	0
Medium	Trial     2	B1	0:06:00-0:07:00	In Arena	1.26865	21	1.32	2	0.52	6	57.96	113.491	51.5506	2837.27	0	1
Medium	Trial     2	B1	0:07:00-0:08:00	In Arena	0.942876	0	0	0	0	1	60	113.855	47.0754	2846.38	0	1
Medium	Trial     2	B1	0:08:00-0:09:00	In Arena	0.705427	0	0	0	0	1	60	119.932	64.4899	2998.3	0	0
Medium	Trial     2	B1	0:09:00-0:10:00	In Arena	0.673035	0	0	0	0	1	60	118.916	60.7964	2972.9	0	0
Medium	Trial     2	B1	0:10:00-0:11:00	In Arena	1.27259	3	0.32	1	0.2	2	59.56	118.335	42.5613	2958.38	1	0
Medium	Trial     2	B1	0:11:00-0:12:00	In Arena	1.31357	0	0	0	0	1	60	120.974	36.2284	3024.34	0	1
Medium	Trial     2	B1	0:12:00-0:13:00	In Arena	1.30597	0	0	0	0	1	60	118.857	36.4353	2971.42	0	0
Medium	Trial     2	B1	0:13:00-0:14:00	In Arena	1.27814	0	0	0	0	2	59.96	118.482	39.0606	2962.06	0	0
Medium	Trial     2	B1	0:14:00-0:15:00	In Arena	1.1337	5	0.44	1	0.24	2	59.36	119.817	51.6487	2995.42	0	0
Medium	Trial     2	B1	0:15:00-0:16:00	In Arena	11.8197	454	24.52	29	7.12	52	18.44	69.5666	9.5661	1739.16	9	9
Medium	Trial     2	B1	0:16:00-0:17:00	In Arena	8.3567	377	19.04	28	4.72	46	26.92	84.093	14.0104	2102.32	10	9
Medium	Trial     2	B1	0:17:00-0:18:00	In Arena	3.42847	116	5.6	5	1	25	50.32	124.097	29.4775	3102.42	13	9
